id,fund_manager,fund,fund_all_names,fund_tickers_sec,classes,e_vote,s_vote,g_vote,e_support,s_support,g_support,e_support_total,s_support_total,g_support_total,fund_is_esg
1,1,Vanguard Mid-Cap Growth Fund,['Vanguard Mid-Cap Growth Fund'],['VMGRX'],Investor Shares,2,4,12,50,37.5,75,1,1.5,9,0
2,1,Vanguard High Dividend Yield Index Fund,['Vanguard High Dividend Yield Index Fund'],"['VHDYX', 'VYM', 'VHYAX']",['Investor Shares' 'ETF Shares'],69,136,136,16.66666667,21.69117647,10.29411765,11.5,29.5,14,0
3,1,Vanguard Global Minimum Volatility Fund,['Vanguard Global Minimum Volatility Fund'],"['VMNVX', 'VMVFX']",['Admiral Shares' 'Investor Shares'],21,52,49,4.761904762,7.692307692,22.44897959,1,4,11,0
4,1,Vanguard Explorer Value Fund,['Vanguard Explorer Value Fund'],['VEVFX'],Investor Shares,1,2,6,50,50,50,0.5,1,3,0
5,1,Vanguard Russell 1000 Growth Index Fund,['Vanguard Russell 1000 Growth Index Fund'],"['VRGWX', 'VONG']",['ETF Shares' 'Institutional Shares'],37,102,123,17.56756757,24.50980392,17.07317073,6.5,25,21,0
6,1,Vanguard Russell 2000 Index Fund,['Vanguard Russell 2000 Index Fund'],"['VRTIX', 'VTWO']",['Institutional Shares' 'ETF Shares'],6,2,28,25,50,32.14285714,1.5,1,9,0
7,1,Vanguard Russell 2000 Growth Index Fund,['Vanguard Russell 2000 Growth Index Fund'],"['VRTGX', 'VTWG']",['Institutional Shares' 'ETF Shares'],16,23,95,31.25,30.43478261,66.31578947,5,7,63,0
8,0,iShares MSCI EAFE International Index Fund,"['BlackRock International Index Fund', 'iShares MSCI EAFE International Index Fund']",['MCGGX'],['Class K' 'Institutional' 'Investor A' 'Investor P Shares'],33,19,12,0,0,0,0,0,0,0
9,2,State Street Institutional International Equity Fund,"['International Equity Fund', 'State Street Institutional International Equity Fund']","['GIEIX', 'GIESX', 'SIEIX', 'SIESX']",['Investment Class' 'Service Class'],0,1,2,,0,0,0,0,0,0
10,2,State Street Institutional Premier Growth Equity Fund,"['Premier Growth Equity Fund', 'State Street Institutional Premier Growth Equity Fund']","['GEIPX', 'GEPSX', 'SSPGX', 'SSPSX']",['Investment Class' 'Service Class'],7,32,23,0,0,39.13043478,0,0,9,0
11,2,State Street Institutional S&P 500 Index Fund,"['S&P 500 Index Fund', 'State Street Institutional S&P 500 Index Fund']","['GIDIX', 'GIDSX', 'SIDIX', 'SIDSX']",['Service Class' 'Investment Class'],113,310,476,21.68141593,17.41935484,31.09243697,24.5,54,148,0
12,2,State Street Institutional Small-Cap Equity Fund,"['Small-Cap Equity Fund', 'State Street Institutional Small-Cap Equity Fund']","['GSVIX', 'GSQSX', 'SIVIX', 'SSQSX']",['Investment Class' 'Service Class'],3,2,15,33.33333333,50,80,1,1,12,0
13,2,State Street Institutional Strategic Investment Fund,"['Strategic Investment Fund', 'State Street Institutional Strategic Investment Fund']","['GSIVX', 'GSRVX', 'SIIVX', 'SISVX']",['Investment Class' 'Service Class'],90,237,250,0,0.843881857,24.8,0,2,62,0
14,2,State Street Institutional U.S. Equity Fund,"['U.S. Equity Fund', 'State Street Institutional U.S. Equity Fund']","['GUSSX', 'GUSIX', 'SUSIX', 'SUSSX']",['Service Class' 'Investment Class'],38,129,131,0,0.775193798,19.08396947,0,1,25,0
15,2,State Street Institutional U.S. Large-Cap Core Equity Fund,"['Core Value Equity Fund', 'U.S. Large-Cap Core Equity Fund', 'State Street Institutional U.S. Large-Cap Core Equity Fund']","['GEIVX', 'GEVSX', 'SILCX', 'SSLVX']",['Service Class' 'Investment Class'],46,151,175,8.695652174,6.953642384,22.28571429,4,10.5,39,0
16,0,BlackRock Global Growth Fund,"['BLACKROCK GLOBAL GROWTH FUND, INC.']",['MCGGX'],['Investor A' 'Investor B' 'Investor C' 'Institutional' 'Class R'],39,83,110,2.564102564,8.43373494,41.81818182,1,7,46,0
17,1,Vanguard Wellesley Income Fund,['VANGUARD WELLESLEY INCOME FUND'],"['VWINX', 'VWIAX']",['Investor Shares' 'Admiral Shares'],116,279,290,20.25862069,15.05376344,3.793103448,23.5,42,11,0
18,1,Vanguard Wellington Fund,['VANGUARD WELLINGTON FUND'],"['VWELX', 'VWENX']",['Investor Shares' 'Admiral Shares'],132,318,407,21.59090909,24.68553459,8.353808354,28.5,78.5,34,0
19,1,Vanguard U.S. Liquidity Factor ETF,['Vanguard U.S. Liquidity Factor ETF'],['VFLQ'],ETF Shares,17,17,26,35.29411765,11.76470588,11.53846154,6,2,3,0
20,1,Vanguard U.S. Multifactor ETF,['Vanguard U.S. Multifactor ETF'],['VFMF'],ETF Shares,6,50,61,0,6,24.59016393,0,3,15,0
21,0,BlackRock Master SmallCap Growth Portfolio,['BlackRock Master SmallCap Growth Portfolio'],['PSGIX'],BlackRock Master SmallCap Growth Portfolio,10,10,29,0,0,93.10344828,0,0,27,0
22,0,BlackRock Master International Portfolio,['BlackRock Master International Portfolio'],[],BlackRock Master International Portfolio,1,4,8,0,0,50,0,0,4,0
23,0,BlackRock International Fund,['BlackRock International Fund'],['MAILX'],['Class K' 'Class R Shares' 'Institutional' 'Investor A' 'Investor C'],0,2,0,,0,,0,0,0,0
24,1,Vanguard Real Estate II Index Fund,"['Vanguard REIT II Index Fund', 'Vanguard Real Estate II Index Fund']",['VRTPX'],Vanguard Real Estate II Index Fund,0,5,1,,40,0,0,2,0,0
25,2,The Consumer Discretionary Select Sector SPDR Fund,"['Consumer Discretionary Select Sector SPDR Fund', 'The Consumer Discretionary Select Sector SPDR Fund']",['XLY'],Consumer Discretionary Select Sector SPDR Fund,47,140,220,27.65957447,40.71428571,44.77272727,13,57,98.5,0
26,2,The Consumer Staples Select Sector SPDR Fund,"['Consumer Staples Select Sector SPDR Fund', 'The Consumer Staples Select Sector SPDR Fund']",['XLP'],Consumer Staples Select Sector SPDR Fund,82,106,87,16.46341463,24.05660377,39.08045977,13.5,25.5,34,0
27,2,The Energy Select Sector SPDR Fund,"['Energy Select Sector SPDR Fund', 'The Energy Select Sector SPDR Fund']",['XLE'],Energy Select Sector SPDR Fund,138,113,94,42.39130435,37.61061947,27.12765957,58.5,42.5,25.5,0
28,2,The Financial Select Sector SPDR Fund,"['Financial Select Sector SPDR Fund', 'The Financial Select Sector SPDR Fund']",['XLF'],Financial Select Sector SPDR Fund,28,131,118,44.64285714,20.22900763,19.06779661,12.5,26.5,22.5,0
29,2,The Health Care Select Sector SPDR Fund,"['Health Care Select Sector SPDR Fund', 'The Health Care Select Sector SPDR Fund']",['XLV'],Health Care Select Sector SPDR Fund,18,88,185,47.22222222,22.72727273,21.35135135,8.5,20,39.5,0
30,2,The Industrial Select Sector SPDR Fund,"['Industrial Select Sector SPDR Fund', 'The Industrial Select Sector SPDR Fund']",['XLI'],Industrial Select Sector SPDR Fund,25,129,220,66,31.39534884,22.72727273,16.5,40.5,50,0
